,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province
1,2020-01-21,16,0,0,0,51000,3.9,-0.7,7.8,0.0,9.3,70.0,47.0,13
2,2020-01-22,16,0,0,0,51000,6.3,5.5,7.0,0.0,10.0,50.0,82.3,13
3,2020-01-23,16,0,0,0,51000,8.6,6.7,10.2,0.0,8.2,50.0,94.0,13
4,2020-01-24,16,0,0,0,51000,9.0,5.5,11.8,0.0,6.4,50.0,62.8,13
5,2020-01-25,16,0,0,0,51000,8.8,7.9,9.6,0.0,7.4,50.0,72.6,13
6,2020-01-26,16,0,0,0,51000,8.9,7.2,10.4,0.0,10.5,50.0,66.5,13
7,2020-01-27,16,0,0,0,51000,6.8,5.4,9.0,0.0,12.0,50.0,83.6,13
8,2020-01-28,16,0,0,0,51000,9.1,6.8,11.3,0.0,6.6,50.0,64.9,13
9,2020-01-29,16,0,0,0,51000,7.5,6.1,8.9,0.0,4.4,200.0,80.0,13
10,2020-01-30,16,0,0,0,51000,6.4,5.0,9.1,0.0,7.5,320.0,73.1,13
11,2020-01-31,16,0,0,0,51000,5.2,2.9,8.7,0.0,8.5,320.0,63.5,13
12,2020-02-01,16,0,0,0,51000,5.3,1.4,9.1,0.0,12.5,320.0,58.5,13
13,2020-02-02,16,0,0,0,51000,5.9,2.5,10.0,0.0,8.2,290.0,55.6,13
14,2020-02-03,16,0,0,0,51000,4.5,1.6,7.9,0.0,9.3,320.0,53.0,13
15,2020-02-04,16,0,0,0,51000,3.8,-1.0,9.5,0.0,7.7,290.0,46.9,13
16,2020-02-05,16,0,0,0,51000,0.7,-3.0,3.8,0.0,12.1,290.0,39.0,13
17,2020-02-06,16,0,0,0,51000,0.0,-4.8,4.6,0.0,8.3,70.0,32.0,13
18,2020-02-07,16,0,0,0,51000,4.2,1.0,9.7,0.0,10.5,320.0,38.8,13
19,2020-02-08,16,0,0,0,51000,4.1,1.5,7.6,0.0,11.2,290.0,47.6,13
20,2020-02-09,16,0,0,0,51000,3.5,-0.5,8.9,0.0,7.7,290.0,47.0,13
21,2020-02-10,16,0,0,0,51000,7.2,1.9,13.0,0.0,6.3,250.0,57.3,13
22,2020-02-11,16,0,0,0,51000,9.0,4.8,12.4,0.0,5.5,70.0,63.3,13
23,2020-02-12,16,0,0,0,51000,10.4,9.2,11.7,0.0,8.3,70.0,96.0,13
24,2020-02-13,16,0,0,0,51000,10.0,7.5,14.1,0.0,5.9,200.0,85.5,13
25,2020-02-14,16,0,0,0,51000,10.4,7.1,16.1,0.0,2.9,200.0,82.3,13
26,2020-02-15,16,0,0,0,51000,12.1,8.9,15.7,0.0,6.4,50.0,75.0,13
27,2020-02-16,16,0,0,0,51000,4.1,0.2,11.6,0.0,17.4,290.0,70.5,13
28,2020-02-17,16,0,0,0,51000,-0.6,-2.5,1.8,0.0,13.5,270.0,65.6,13
29,2020-02-18,16,0,0,0,51000,1.4,-2.6,6.7,0.0,12.3,320.0,48.4,13
30,2020-02-19,16,0,0,0,51000,5.2,0.2,10.7,0.0,7.9,200.0,50.1,13
31,2020-02-20,16,0,0,0,51000,8.3,4.9,13.6,0.0,6.0,50.0,50.6,13
32,2020-02-21,16,0,0,0,51000,9.7,5.7,13.3,0.0,5.0,70.0,67.0,13
33,2020-02-22,16,1,0,0,51000,8.8,4.2,12.3,0.0,13.4,290.0,51.3,13
34,2020-02-23,16,0,0,0,51000,5.8,1.8,11.0,0.0,8.0,290.0,53.3,13
35,2020-02-24,16,0,0,0,51000,8.8,2.7,14.4,0.0,4.3,200.0,61.8,13
36,2020-02-25,16,0,0,0,51000,10.8,8.2,14.0,0.0,8.8,70.0,98.4,13
37,2020-02-26,16,0,0,0,51000,9.8,7.4,13.2,0.0,9.2,50.0,75.0,13
38,2020-02-27,16,0,0,0,51000,7.7,5.4,9.1,0.0,8.8,90.0,69.5,13
39,2020-02-28,16,0,0,0,51000,6.9,6.4,7.9,0.0,7.5,50.0,78.1,13
40,2020-02-29,16,2,0,0,51000,8.6,6.4,10.9,0.0,7.7,50.0,75.3,13
41,2020-03-01,16,0,0,0,51000,10.1,7.2,13.5,0.0,9.5,50.0,69.6,13
42,2020-03-02,0,2,0,0,51000,8.0,4.8,12.6,0.0,10.4,290.0,47.9,13
43,2020-03-03,0,0,0,0,51000,9.1,6.9,11.7,0.0,7.5,50.0,67.3,13
44,2020-03-04,0,-1,0,0,51000,6.6,0.9,10.8,0.0,13.2,320.0,51.5,13
45,2020-03-05,0,0,0,0,51000,5.0,0.3,10.8,0.0,9.4,290.0,42.0,13
46,2020-03-06,0,0,0,0,51000,6.7,1.4,11.3,0.0,5.1,70.0,58.0,13
47,2020-03-07,0,0,0,0,51000,7.6,6.3,8.9,0.0,7.5,50.0,84.0,13
48,2020-03-08,0,0,0,0,51000,9.6,5.0,14.7,0.0,6.2,50.0,73.3,13
49,2020-03-09,0,0,1,0,51000,10.2,7.5,11.9,0.0,8.9,50.0,83.3,13
50,2020-03-10,0,0,0,0,51000,8.8,4.7,10.8,0.0,15.2,290.0,78.3,13
51,2020-03-11,0,0,0,0,51000,6.5,3.4,10.8,0.0,10.4,320.0,38.6,13
52,2020-03-12,0,0,0,0,51000,7.8,2.2,12.7,0.0,7.5,200.0,56.3,13
53,2020-03-13,0,0,0,0,51000,10.7,7.6,16.3,0.0,13.9,320.0,46.8,13
54,2020-03-14,0,0,1,0,51000,6.7,2.3,10.8,0.0,12.9,320.0,33.8,13
55,2020-03-15,0,0,0,0,51000,8.2,3.1,13.6,0.0,14.7,230.0,42.4,13
56,2020-03-16,0,0,0,0,51000,6.0,1.3,10.6,0.0,10.0,230.0,45.1,13
57,2020-03-17,0,0,0,0,51000,10.3,3.9,17.0,0.0,10.6,200.0,54.8,13
58,2020-03-18,0,1,0,0,51000,11.7,6.9,16.2,0.0,5.6,200.0,60.5,13
59,2020-03-19,0,0,1,0,51000,11.3,7.6,16.6,0.0,16.7,230.0,58.0,13
60,2020-03-20,0,0,0,0,51000,10.0,6.4,13.1,0.0,10.0,200.0,43.8,13
61,2020-03-21,0,0,0,0,51000,12.9,7.4,17.6,0.0,8.2,200.0,71.4,13
62,2020-03-22,0,1,0,0,51000,14.4,10.6,19.4,0.0,8.9,110.0,70.8,13
63,2020-03-23,0,0,0,0,51000,12.9,7.3,18.8,0.0,9.7,270.0,39.4,13
64,2020-03-24,0,0,0,0,51000,11.8,7.6,16.6,0.0,8.4,90.0,58.1,13
65,2020-03-25,0,2,0,0,51000,12.6,8.9,16.2,0.0,5.3,90.0,61.9,13
66,2020-03-26,0,0,0,0,51000,13.0,10.9,15.1,0.0,5.6,50.0,94.1,13
67,2020-03-27,0,0,0,0,51000,13.7,8.0,18.5,0.0,13.0,320.0,80.3,13
68,2020-03-28,0,0,0,0,51000,9.7,7.8,11.5,0.0,9.6,340.0,52.8,13
69,2020-03-29,0,1,0,0,51000,10.4,7.1,14.4,0.0,6.4,50.0,62.6,13
70,2020-03-30,0,0,0,0,51000,11.9,9.7,16.1,0.0,4.6,110.0,65.8,13
71,2020-03-31,0,0,0,0,51000,13.0,9.1,18.2,0.0,6.2,50.0,64.9,13
72,2020-04-01,0,3,0,0,51000,12.9,8.3,19.3,0.0,12.0,320.0,46.6,13
73,2020-04-02,0,2,0,0,51000,11.0,6.2,15.7,0.0,7.7,320.0,46.4,13
74,2020-04-03,0,1,0,0,51000,12.8,8.3,17.6,0.0,9.7,200.0,34.0,13
75,2020-04-04,0,0,1,0,51000,12.5,6.8,20.6,0.0,12.4,320.0,33.9,13
76,2020-04-05,0,0,0,0,51000,9.3,4.8,13.9,0.0,8.2,200.0,36.1,13
77,2020-04-06,0,0,0,0,51000,10.8,5.2,15.9,0.0,6.8,200.0,45.9,13
78,2020-04-07,0,0,0,0,51000,14.5,9.4,20.9,0.0,8.6,270.0,32.4,13
79,2020-04-08,0,0,0,0,51000,13.5,9.7,19.2,0.0,11.0,290.0,26.5,13
80,2020-04-09,0,0,0,0,51000,12.5,7.1,18.5,0.0,9.6,290.0,30.5,13
81,2020-04-10,0,0,0,0,51000,10.8,9.9,11.9,0.0,6.3,50.0,65.4,13
82,2020-04-11,0,0,1,0,51000,9.5,7.8,11.1,0.0,4.9,20.0,85.6,13
83,2020-04-12,0,0,0,0,51000,9.6,7.7,11.5,0.0,11.2,20.0,69.4,13
84,2020-04-13,0,0,1,0,51000,11.5,8.3,15.8,0.0,9.2,20.0,44.9,13
85,2020-04-14,0,0,0,0,51000,13.8,8.1,21.2,0.0,6.3,200.0,49.8,13
86,2020-04-15,0,0,1,0,51000,13.1,10.3,16.9,0.0,5.8,200.0,44.4,13
87,2020-04-16,0,0,0,0,51000,12.9,10.3,16.8,0.0,7.4,50.0,68.3,13
88,2020-04-17,0,0,0,0,51000,11.9,10.2,13.0,0.0,8.0,50.0,93.8,13
89,2020-04-18,0,0,0,0,51000,13.7,10.1,18.4,0.0,10.3,270.0,72.6,13
90,2020-04-19,0,0,1,0,51000,12.0,10.6,13.4,0.0,8.5,90.0,88.4,13
91,2020-04-20,0,0,0,0,51000,13.7,10.4,18.7,0.0,11.6,320.0,67.6,13
92,2020-04-21,0,0,0,0,51000,11.4,7.8,16.6,0.0,14.7,290.0,35.1,13
93,2020-04-22,0,0,0,0,51000,9.0,5.9,14.3,0.0,14.8,270.0,36.4,13
94,2020-04-23,0,0,0,0,51000,10.0,5.1,15.7,0.0,10.9,290.0,42.9,13
95,2020-04-24,0,0,0,0,51000,11.2,6.7,14.6,0.0,10.7,200.0,42.6,13
96,2020-04-25,0,0,0,0,51000,14.4,9.6,18.0,0.0,13.8,200.0,66.8,13
