,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province
4,2020-01-20,16,0,0,0,13000,4.0,1.2,7.9,0.0,3.3,270.0,63.1,6
20,2020-01-21,16,0,0,0,13000,3.6,-2.2,10.7,0.0,4.4,50.0,38.8,6
36,2020-01-22,16,0,0,0,13000,5.4,3.1,6.7,0.0,4.3,50.0,82.5,6
52,2020-01-23,16,0,0,0,13000,7.5,5.3,12.3,0.0,4.6,20.0,85.1,6
68,2020-01-24,16,0,0,0,13000,7.1,2.5,12.7,0.0,3.4,50.0,57.8,6
84,2020-01-25,16,0,0,0,13000,7.4,4.1,10.9,0.0,1.4,250.0,71.5,6
100,2020-01-26,16,0,0,0,13000,8.2,3.8,11.7,0.0,4.4,50.0,68.1,6
116,2020-01-27,16,0,0,0,13000,6.0,4.1,8.9,0.0,5.1,50.0,94.5,6
132,2020-01-28,16,0,0,0,13000,7.3,3.7,13.0,0.0,2.8,230.0,81.9,6
148,2020-01-29,16,0,0,0,13000,6.6,5.4,8.8,0.0,2.5,230.0,84.9,6
164,2020-01-30,16,0,0,0,13000,5.9,3.7,10.1,0.0,3.3,270.0,73.1,6
180,2020-01-31,16,0,0,0,13000,4.3,1.6,8.5,0.0,3.2,20.0,68.5,6
196,2020-02-01,16,0,0,0,13000,3.9,-1.0,9.0,0.0,2.1,320.0,74.3,6
212,2020-02-02,16,0,0,0,13000,4.0,0.6,9.3,0.0,2.7,250.0,66.1,6
228,2020-02-03,16,0,0,0,13000,2.0,-1.3,6.6,0.0,3.6,50.0,65.8,6
244,2020-02-04,16,1,0,0,13000,2.1,-3.2,8.2,0.0,3.5,50.0,49.4,6
260,2020-02-05,16,1,0,0,13000,-1.7,-5.6,2.0,0.0,5.1,20.0,44.5,6
276,2020-02-06,16,1,0,0,13000,-2.2,-7.0,3.2,0.0,3.8,50.0,32.6,6
292,2020-02-07,16,1,0,0,13000,1.1,-3.8,5.6,0.0,3.1,20.0,43.1,6
308,2020-02-08,16,1,0,0,13000,3.0,0.3,6.7,0.0,4.0,20.0,52.4,6
324,2020-02-09,16,1,0,0,13000,2.5,-1.0,7.8,0.0,3.5,50.0,53.0,6
340,2020-02-10,16,1,0,0,13000,5.6,-0.2,13.2,0.0,2.2,20.0,56.8,6
356,2020-02-11,16,1,0,0,13000,7.8,-0.3,14.2,0.0,4.2,160.0,53.9,6
372,2020-02-12,16,1,0,0,13000,9.9,8.1,12.0,0.0,5.5,200.0,96.5,6
388,2020-02-13,16,1,0,0,13000,8.4,6.0,11.5,0.0,2.8,250.0,91.5,6
404,2020-02-14,16,1,0,0,13000,11.3,4.6,19.8,0.0,2.4,20.0,60.6,6
420,2020-02-15,16,1,0,0,13000,10.8,6.9,18.5,0.0,4.5,50.0,74.9,6
436,2020-02-16,16,1,0,0,13000,1.3,-1.2,7.7,0.0,4.8,270.0,88.8,6
452,2020-02-17,16,1,0,0,13000,-2.0,-3.7,0.3,0.0,3.9,290.0,85.5,6
